gendistrict,hood,category,count
CENTRAL,Nob Hill,KIDNAPPING,2
CENTRAL,Nob Hill,LARCENY/THEFT,401
CENTRAL,Nob Hill,MISSING PERSON,47
CENTRAL,Nob Hill,NON-CRIMINAL,200
CENTRAL,Nob Hill,OTHER OFFENSES,197
CENTRAL,Nob Hill,PROSTITUTION,2
CENTRAL,Nob Hill,RECOVERED VEHICLE,8
CENTRAL,Nob Hill,ROBBERY,34
CENTRAL,Nob Hill,SECONDARY CODES,18
CENTRAL,Nob Hill,"SEX OFFENSES, FORCIBLE",14
CENTRAL,Nob Hill,STOLEN PROPERTY,7
CENTRAL,Nob Hill,SUICIDE,1
CENTRAL,Nob Hill,SUSPICIOUS OCC,63
CENTRAL,Nob Hill,TRESPASS,25
CENTRAL,Nob Hill,VANDALISM,128
CENTRAL,Nob Hill,VEHICLE THEFT,82
CENTRAL,Nob Hill,WARRANTS,43
CENTRAL,Nob Hill,WEAPON LAWS,7
CENTRAL,North Beach,ARSON,3
CENTRAL,North Beach,ASSAULT,305
CENTRAL,North Beach,BRIBERY,1
CENTRAL,North Beach,BURGLARY,137
CENTRAL,North Beach,DISORDERLY CONDUCT,11
CENTRAL,North Beach,DRIVING UNDER THE INFLUENCE,11
CENTRAL,North Beach,DRUG/NARCOTIC,52
CENTRAL,North Beach,DRUNKENNESS,17
CENTRAL,North Beach,EMBEZZLEMENT,5
CENTRAL,North Beach,FORGERY/COUNTERFEITING,15
CENTRAL,North Beach,FRAUD,98
CENTRAL,North Beach,GAMBLING,1
CENTRAL,North Beach,KIDNAPPING,3
CENTRAL,North Beach,LARCENY/THEFT,2275
CENTRAL,North Beach,LIQUOR LAWS,7
CENTRAL,North Beach,LOITERING,3
CENTRAL,North Beach,MISSING PERSON,49
CENTRAL,North Beach,NON-CRIMINAL,599
CENTRAL,North Beach,OTHER OFFENSES,494
CENTRAL,North Beach,RECOVERED VEHICLE,10
CENTRAL,North Beach,ROBBERY,79
CENTRAL,North Beach,RUNAWAY,1
CENTRAL,North Beach,SECONDARY CODES,39
CENTRAL,North Beach,"SEX OFFENSES, FORCIBLE",14
CENTRAL,North Beach,STOLEN PROPERTY,53
CENTRAL,North Beach,SUICIDE,3
CENTRAL,North Beach,SUSPICIOUS OCC,143
CENTRAL,North Beach,TRESPASS,28
CENTRAL,North Beach,VANDALISM,344
CENTRAL,North Beach,VEHICLE THEFT,113
CENTRAL,North Beach,WARRANTS,124
CENTRAL,North Beach,WEAPON LAWS,43
CENTRAL,Russian Hill,ARSON,2
CENTRAL,Russian Hill,ASSAULT,99
CENTRAL,Russian Hill,BAD CHECKS,1
CENTRAL,Russian Hill,BURGLARY,71
CENTRAL,Russian Hill,DISORDERLY CONDUCT,1
CENTRAL,Russian Hill,DRIVING UNDER THE INFLUENCE,8
CENTRAL,Russian Hill,DRUG/NARCOTIC,19
CENTRAL,Russian Hill,DRUNKENNESS,2
CENTRAL,Russian Hill,EXTORTION,1
CENTRAL,Russian Hill,FORGERY/COUNTERFEITING,5
CENTRAL,Russian Hill,FRAUD,32
CENTRAL,Russian Hill,KIDNAPPING,3
CENTRAL,Russian Hill,LARCENY/THEFT,1082
CENTRAL,Russian Hill,LIQUOR LAWS,1
CENTRAL,Russian Hill,MISSING PERSON,39
CENTRAL,Russian Hill,NON-CRIMINAL,362
CENTRAL,Russian Hill,OTHER OFFENSES,246
CENTRAL,Russian Hill,RECOVERED VEHICLE,10
CENTRAL,Russian Hill,ROBBERY,47
CENTRAL,Russian Hill,SECONDARY CODES,21
CENTRAL,Russian Hill,"SEX OFFENSES, FORCIBLE",6
CENTRAL,Russian Hill,STOLEN PROPERTY,21
CENTRAL,Russian Hill,SUICIDE,3
CENTRAL,Russian Hill,SUSPICIOUS OCC,69
CENTRAL,Russian Hill,TRESPASS,18
CENTRAL,Russian Hill,VANDALISM,167
CENTRAL,Russian Hill,VEHICLE THEFT,82
CENTRAL,Russian Hill,WARRANTS,43
CENTRAL,Russian Hill,WEAPON LAWS,14
CENTRAL,South of Market,ASSAULT,1
CENTRAL,South of Market,BURGLARY,1
CENTRAL,South of Market,OTHER OFFENSES,1
CENTRAL,South of Market,STOLEN PROPERTY,1
CENTRAL,South of Market,WEAPON LAWS,1
INGLESIDE,Bayview,SUSPICIOUS OCC,1
INGLESIDE,Bernal Heights,ARSON,5
INGLESIDE,Bernal Heights,ASSAULT,337
INGLESIDE,Bernal Heights,BRIBERY,1
INGLESIDE,Bernal Heights,BURGLARY,167
INGLESIDE,Bernal Heights,DISORDERLY CONDUCT,6
INGLESIDE,Bernal Heights,DRIVING UNDER THE INFLUENCE,5
INGLESIDE,Bernal Heights,DRUG/NARCOTIC,31
INGLESIDE,Bernal Heights,DRUNKENNESS,7
INGLESIDE,Bernal Heights,EMBEZZLEMENT,1
INGLESIDE,Bernal Heights,EXTORTION,1
INGLESIDE,Bernal Heights,FORGERY/COUNTERFEITING,10
INGLESIDE,Bernal Heights,FRAUD,30
INGLESIDE,Bernal Heights,KIDNAPPING,6
INGLESIDE,Bernal Heights,LARCENY/THEFT,506
INGLESIDE,Bernal Heights,LIQUOR LAWS,7
INGLESIDE,Bernal Heights,MISSING PERSON,89
INGLESIDE,Bernal Heights,NON-CRIMINAL,268
INGLESIDE,Bernal Heights,OTHER OFFENSES,372
INGLESIDE,Bernal Heights,RECOVERED VEHICLE,26
INGLESIDE,Bernal Heights,ROBBERY,82
INGLESIDE,Bernal Heights,RUNAWAY,1
INGLESIDE,Bernal Heights,SECONDARY CODES,40
INGLESIDE,Bernal Heights,"SEX OFFENSES, FORCIBLE",14
INGLESIDE,Bernal Heights,STOLEN PROPERTY,15
INGLESIDE,Bernal Heights,SUICIDE,1
INGLESIDE,Bernal Heights,SUSPICIOUS OCC,123
INGLESIDE,Bernal Heights,TREA,1
INGLESIDE,Bernal Heights,TRESPASS,24
INGLESIDE,Bernal Heights,VANDALISM,167
INGLESIDE,Bernal Heights,VEHICLE THEFT,249
INGLESIDE,Bernal Heights,WARRANTS,70
INGLESIDE,Bernal Heights,WEAPON LAWS,36
INGLESIDE,Castro/Upper Market,LARCENY/THEFT,1
