category,hood,weekday,month,hour,count
THEFT,SouthEast,3,11,06,2
OTHER,Center,1,04,06,3
DRUG/ALC,SouthWest,4,03,14,2
SEX,SouthEast,6,07,15,2
SEX,NorthEast,6,07,10,2
THEFT,Center,7,05,20,9
OTHER,Center,5,01,08,5
SEX,NorthEast,7,03,14,6
TRESPASSING,SouthEast,3,06,11,1
OTHER,NorthWest,3,11,23,4
OTHER,Center,5,10,20,11
OTHER,SouthWest,7,11,13,2
THEFT,NorthWest,2,11,14,3
OTHER,NorthEast,7,04,12,18
THEFT,SouthWest,2,03,06,2
OTHER,NorthWest,1,07,01,1
SEX,SouthEast,5,01,16,4
THEFT,Center,6,12,18,5
THEFT,Center,3,09,08,1
OTHER,NorthWest,3,08,11,1
THEFT,NorthWest,5,11,00,2
DRUG/ALC,Center,7,04,01,1
FRAUD,NorthEast,1,02,09,2
OTHER,NorthWest,5,07,07,2
THEFT,NorthWest,5,05,12,1
OTHER,SouthWest,4,07,13,3
THEFT,Center,7,09,15,7
THEFT,NorthEast,6,12,17,37
SEX,NorthEast,5,09,10,4
THEFT,NorthWest,1,01,14,5
SEX,SouthEast,5,09,15,2
MISSING PERSONS,SouthEast,3,06,06,2
CONDUCT,SouthEast,5,01,17,1
OTHER,SouthEast,1,05,13,7
THEFT,NorthWest,6,12,19,3
FRAUD,Center,1,12,00,1
THEFT,Center,7,01,16,9
OTHER,Center,3,08,23,3
THEFT,NorthEast,3,02,06,7
OTHER,NorthWest,3,11,05,1
THEFT,Center,2,08,14,5
SEX,NorthWest,7,12,09,1
SEX,SouthEast,5,05,20,1
THEFT,SouthWest,3,06,03,4
SEX,SouthWest,1,08,12,3
OTHER,Center,3,11,11,4
OTHER,NorthWest,6,09,07,5
TRESPASSING,NorthEast,4,05,08,1
THEFT,SouthEast,1,04,11,4
OTHER,SouthWest,3,04,20,2
OTHER,NorthWest,2,05,10,4
THEFT,Center,5,08,00,2
OTHER,Center,4,04,09,2
MISSING PERSONS,Center,5,12,16,1
THEFT,NorthEast,7,07,16,39
OTHER,SouthWest,5,12,19,2
TRESPASSING,Center,2,05,19,1
OTHER,Center,3,12,17,9
MISSING PERSONS,NorthEast,7,09,18,2
OTHER,NorthEast,1,06,05,5
TRESPASSING,NorthEast,5,04,00,1
OTHER,NorthEast,3,12,18,19
OTHER,NorthEast,6,09,08,7
TRESPASSING,NorthWest,4,05,07,1
THEFT,NorthWest,3,10,21,3
FRAUD,SouthEast,5,05,14,2
CONDUCT,NorthEast,4,09,20,4
TRESPASSING,Center,3,03,08,1
OTHER,Center,2,12,13,8
MISSING PERSONS,NorthEast,6,12,15,2
OTHER,Center,2,09,03,3
THEFT,SouthEast,6,02,11,2
THEFT,NorthEast,4,11,16,19
THEFT,NorthEast,6,08,05,6
DRUG/ALC,NorthEast,3,06,09,1
SEX,Center,7,06,20,1
THEFT,NorthWest,4,09,13,7
FRAUD,NorthWest,2,09,17,2
THEFT,NorthEast,3,04,21,16
FRAUD,SouthWest,3,03,12,2
CONDUCT,NorthWest,6,07,09,3
CONDUCT,NorthEast,6,08,12,1
CONDUCT,NorthEast,4,05,15,4
OTHER,SouthEast,1,03,07,2
FRAUD,NorthEast,2,09,19,2
MISSING PERSONS,NorthEast,3,01,14,2
CONDUCT,NorthEast,7,12,10,2
FRAUD,NorthEast,2,02,12,7
OTHER,NorthEast,5,05,22,17
MISSING PERSONS,NorthEast,5,02,20,1
MISSING PERSONS,NorthEast,4,06,16,3
DRUG/ALC,NorthEast,4,09,04,1
OTHER,NorthEast,5,07,08,14
OTHER,SouthEast,5,04,03,1
CONDUCT,SouthWest,1,07,10,2
SEX,Center,6,01,10,1
OTHER,NorthEast,1,06,23,11
