category,hood,weekday,month,hour,count
SEX,SouthWest,4,01,03,1
THEFT,SouthWest,4,01,03,1
THEFT,SouthWest,4,01,03,1
OTHER,SouthWest,4,01,03,1
THEFT,NorthEast,3,01,19,1
MISSING PERSONS,NorthEast,3,01,16,1
MISSING PERSONS,NorthEast,3,01,16,1
SEX,SouthEast,4,01,04,1
OTHER,SouthEast,4,01,02,1
OTHER,Center,4,01,05,1
OTHER,NorthWest,4,01,06,1
MISSING PERSONS,Center,4,01,05,1
MISSING PERSONS,Center,4,01,05,1
THEFT,SouthEast,3,01,17,1
SEX,NorthEast,4,01,05,1
THEFT,Center,3,01,22,1
CONDUCT,Center,4,01,07,1
OTHER,Center,3,01,20,1
THEFT,Center,4,01,06,1
THEFT,NorthEast,4,01,07,1
THEFT,NorthEast,4,01,07,1
DRUG/ALC,NorthEast,4,01,07,1
DRUG/ALC,NorthEast,4,01,07,1
DRUG/ALC,NorthEast,4,01,07,1
OTHER,NorthEast,4,01,07,1
OTHER,NorthEast,4,01,07,1
OTHER,NorthEast,4,01,07,1
THEFT,NorthEast,3,01,18,1
THEFT,SouthEast,2,01,16,1
OTHER,NorthWest,4,01,00,1
DRUG/ALC,NorthEast,4,01,07,1
OTHER,NorthEast,4,01,07,1
OTHER,Center,4,01,08,1
THEFT,NorthWest,3,01,21,1
OTHER,SouthEast,4,01,08,1
OTHER,NorthEast,4,01,08,1
OTHER,NorthEast,4,01,23,1
THEFT,NorthEast,4,01,09,1
OTHER,NorthWest,4,01,09,1
OTHER,NorthEast,4,01,17,1
THEFT,NorthEast,3,01,22,1
MISSING PERSONS,SouthEast,4,01,08,1
SEX,Center,4,01,09,1
SEX,Center,4,01,09,1
THEFT,NorthEast,5,01,06,1
OTHER,SouthEast,4,01,09,1
THEFT,Center,3,01,18,1
OTHER,SouthEast,4,01,09,1
OTHER,SouthWest,3,01,12,1
OTHER,SouthWest,3,01,12,1
OTHER,NorthWest,4,01,10,1
THEFT,Center,4,01,02,1
THEFT,NorthEast,4,01,10,1
SEX,NorthEast,4,01,10,1
OTHER,NorthEast,4,01,10,1
THEFT,NorthEast,2,01,19,1
THEFT,NorthEast,2,01,19,1
THEFT,SouthWest,3,01,21,1
OTHER,NorthEast,4,01,11,1
OTHER,Center,4,01,11,1
OTHER,NorthEast,4,01,11,1
OTHER,NorthEast,4,01,09,1
OTHER,NorthEast,4,01,11,1
CONDUCT,Center,4,01,10,1
SEX,NorthEast,3,01,14,1
SEX,NorthEast,3,01,14,1
OTHER,SouthEast,4,01,11,1
THEFT,NorthEast,4,01,11,1
THEFT,NorthEast,2,01,16,1
SEX,Center,4,01,09,1
DRUG/ALC,NorthEast,4,01,11,1
CONDUCT,NorthEast,4,01,11,1
OTHER,NorthEast,4,01,12,1
THEFT,NorthEast,3,01,20,1
OTHER,Center,4,01,11,1
SEX,NorthEast,4,01,11,1
SEX,NorthEast,4,01,11,1
OTHER,SouthEast,4,01,10,1
OTHER,NorthWest,3,01,16,1
OTHER,Center,4,01,12,1
OTHER,SouthWest,4,01,12,1
THEFT,NorthEast,4,01,11,1
THEFT,NorthEast,4,01,12,1
THEFT,NorthEast,4,01,12,1
SEX,Center,4,01,12,1
DRUG/ALC,Center,4,01,12,1
OTHER,Center,4,01,12,1
SEX,NorthEast,3,01,18,1
THEFT,NorthEast,3,01,18,1
THEFT,SouthEast,3,01,18,1
OTHER,NorthEast,4,01,11,1
OTHER,NorthEast,6,01,13,1
THEFT,NorthWest,1,01,10,1
SEX,Center,4,01,13,1
THEFT,SouthEast,4,01,12,1
OTHER,SouthEast,4,01,12,1
