hood,category,count
Haight Ashbury,DRUG/NARCOTIC,173
Haight Ashbury,VANDALISM,140
Haight Ashbury,SUSPICIOUS OCC,94
Haight Ashbury,FRAUD,63
Haight Ashbury,ROBBERY,43
Haight Ashbury,WEAPON LAWS,32
Haight Ashbury,TRESPASS,28
Haight Ashbury,SECONDARY CODES,27
Haight Ashbury,RUNAWAY,26
Haight Ashbury,"SEX OFFENSES, FORCIBLE",24
Haight Ashbury,STOLEN PROPERTY,16
Haight Ashbury,DISORDERLY CONDUCT,13
Haight Ashbury,FORGERY/COUNTERFEITING,9
Haight Ashbury,LIQUOR LAWS,8
Haight Ashbury,DRIVING UNDER THE INFLUENCE,8
Haight Ashbury,ARSON,7
Haight Ashbury,RECOVERED VEHICLE,7
Haight Ashbury,DRUNKENNESS,5
Haight Ashbury,KIDNAPPING,3
Haight Ashbury,EMBEZZLEMENT,2
Haight Ashbury,SUICIDE,2
Haight Ashbury,EXTORTION,2
Haight Ashbury,PROSTITUTION,1
Haight Ashbury,"SEX OFFENSES, NON FORCIBLE",1
Inner Richmond,LARCENY/THEFT,897
Inner Richmond,NON-CRIMINAL,519
Inner Richmond,OTHER OFFENSES,396
Inner Richmond,VEHICLE THEFT,221
Inner Richmond,ASSAULT,177
Inner Richmond,VANDALISM,174
Inner Richmond,BURGLARY,150
Inner Richmond,SUSPICIOUS OCC,118
Inner Richmond,MISSING PERSON,79
Inner Richmond,FRAUD,69
Inner Richmond,WARRANTS,67
Inner Richmond,ROBBERY,34
Inner Richmond,SECONDARY CODES,31
Inner Richmond,DRUG/NARCOTIC,29
Inner Richmond,WEAPON LAWS,20
Inner Richmond,TRESPASS,19
Inner Richmond,FORGERY/COUNTERFEITING,15
Inner Richmond,DRIVING UNDER THE INFLUENCE,15
Inner Richmond,RECOVERED VEHICLE,14
Inner Richmond,"SEX OFFENSES, FORCIBLE",13
Inner Richmond,DRUNKENNESS,10
Inner Richmond,STOLEN PROPERTY,10
Inner Richmond,LIQUOR LAWS,7
Inner Richmond,KIDNAPPING,4
Inner Richmond,DISORDERLY CONDUCT,3
Inner Richmond,ARSON,3
Inner Richmond,EXTORTION,3
Inner Richmond,BAD CHECKS,2
Inner Richmond,SUICIDE,2
Inner Richmond,EMBEZZLEMENT,2
Inner Richmond,"SEX OFFENSES, NON FORCIBLE",2
Inner Richmond,PROSTITUTION,2
Inner Richmond,FAMILY OFFENSES,2
Inner Richmond,LOITERING,1
Inner Sunset,LARCENY/THEFT,425
Inner Sunset,OTHER OFFENSES,252
Inner Sunset,NON-CRIMINAL,215
Inner Sunset,BURGLARY,135
Inner Sunset,ASSAULT,134
Inner Sunset,MISSING PERSON,105
Inner Sunset,VEHICLE THEFT,92
Inner Sunset,VANDALISM,78
Inner Sunset,SUSPICIOUS OCC,54
Inner Sunset,WARRANTS,37
Inner Sunset,FRAUD,36
Inner Sunset,TRESPASS,32
Inner Sunset,ROBBERY,22
Inner Sunset,SECONDARY CODES,15
Inner Sunset,DRUG/NARCOTIC,13
Inner Sunset,"SEX OFFENSES, FORCIBLE",10
Inner Sunset,WEAPON LAWS,9
Inner Sunset,STOLEN PROPERTY,8
Inner Sunset,DRUNKENNESS,7
Inner Sunset,DRIVING UNDER THE INFLUENCE,6
Inner Sunset,DISORDERLY CONDUCT,6
Inner Sunset,FORGERY/COUNTERFEITING,6
Inner Sunset,RECOVERED VEHICLE,5
Inner Sunset,KIDNAPPING,3
Inner Sunset,EMBEZZLEMENT,3
Inner Sunset,ARSON,3
Inner Sunset,BRIBERY,3
Inner Sunset,LIQUOR LAWS,2
Inner Sunset,BAD CHECKS,1
Lakeshore,LARCENY/THEFT,789
Lakeshore,OTHER OFFENSES,438
Lakeshore,NON-CRIMINAL,258
Lakeshore,BURGLARY,150
Lakeshore,VANDALISM,149
Lakeshore,ASSAULT,147
Lakeshore,PROSTITUTION,102
Lakeshore,VEHICLE THEFT,96
Lakeshore,WARRANTS,80
Lakeshore,FRAUD,72
Lakeshore,SUSPICIOUS OCC,63
Lakeshore,MISSING PERSON,45
Lakeshore,ROBBERY,41
Lakeshore,TRESPASS,33
Lakeshore,SECONDARY CODES,32
Lakeshore,DRUG/NARCOTIC,30
Lakeshore,"SEX OFFENSES, FORCIBLE",22
Lakeshore,WEAPON LAWS,12
Lakeshore,DRIVING UNDER THE INFLUENCE,12
Lakeshore,STOLEN PROPERTY,11
Lakeshore,DRUNKENNESS,11
Lakeshore,RECOVERED VEHICLE,10
Lakeshore,LIQUOR LAWS,8
Lakeshore,EMBEZZLEMENT,8
Lakeshore,FORGERY/COUNTERFEITING,6
Lakeshore,ARSON,4
Lakeshore,EXTORTION,3
Lakeshore,KIDNAPPING,3
Lakeshore,"SEX OFFENSES, NON FORCIBLE",3
Lakeshore,BAD CHECKS,2
Lakeshore,DISORDERLY CONDUCT,2
Lakeshore,FAMILY OFFENSES,1
Lakeshore,SUICIDE,1
Lakeshore,LOITERING,1
Lakeshore,TREA,1
Marina,LARCENY/THEFT,1360
Marina,OTHER OFFENSES,339
Marina,NON-CRIMINAL,323
Marina,ASSAULT,197
Marina,VANDALISM,196
Marina,BURGLARY,184
Marina,VEHICLE THEFT,139
Marina,WARRANTS,91
Marina,SUSPICIOUS OCC,90
Marina,FRAUD,64
Marina,ROBBERY,48
Marina,MISSING PERSON,44
Marina,DRUG/NARCOTIC,36
Marina,STOLEN PROPERTY,26
Marina,TRESPASS,23
Marina,SECONDARY CODES,23
Marina,FORGERY/COUNTERFEITING,18
Marina,DRUNKENNESS,14
Marina,"SEX OFFENSES, FORCIBLE",12
Marina,WEAPON LAWS,12
Marina,DISORDERLY CONDUCT,9
Marina,RECOVERED VEHICLE,8
Marina,DRIVING UNDER THE INFLUENCE,8
Marina,ARSON,4
Marina,KIDNAPPING,4
Marina,SUICIDE,3
Marina,LOITERING,3
Marina,LIQUOR LAWS,1
Marina,BRIBERY,1
Marina,"SEX OFFENSES, NON FORCIBLE",1
Mission,OTHER OFFENSES,2480
Mission,LARCENY/THEFT,2441
Mission,NON-CRIMINAL,1648
Mission,ASSAULT,1643
Mission,WARRANTS,892
Mission,VANDALISM,841
Mission,SUSPICIOUS OCC,746
Mission,VEHICLE THEFT,660
Mission,DRUG/NARCOTIC,555
Mission,BURGLARY,531
Mission,MISSING PERSON,442
Mission,ROBBERY,440
Mission,TRESPASS,347
Mission,WEAPON LAWS,234
Mission,FRAUD,219
Mission,SECONDARY CODES,176
Mission,"SEX OFFENSES, FORCIBLE",153
Mission,DISORDERLY CONDUCT,150
Mission,STOLEN PROPERTY,88
Mission,PROSTITUTION,86
Mission,DRUNKENNESS,80
Mission,FORGERY/COUNTERFEITING,72
Mission,DRIVING UNDER THE INFLUENCE,52
Mission,RECOVERED VEHICLE,48
Mission,ARSON,41
Mission,KIDNAPPING,29
Mission,LIQUOR LAWS,27
Mission,EMBEZZLEMENT,20
Mission,FAMILY OFFENSES,13
Mission,BRIBERY,9
Mission,EXTORTION,7
Mission,LOITERING,6
Mission,RUNAWAY,5
Mission,"SEX OFFENSES, NON FORCIBLE",3
Mission,GAMBLING,2
