category,hood,weekday,month,hour,count
OTHER,Center,1,10,10,8
THEFT,Center,4,01,07,3
OTHER,NorthEast,2,12,03,5
OTHER,SouthEast,2,06,09,1
OTHER,Center,7,01,00,3
OTHER,NorthEast,2,09,13,15
MISSING PERSONS,SouthEast,6,04,15,1
OTHER,Center,6,06,19,4
SEX,SouthEast,2,07,01,2
MISSING PERSONS,NorthEast,7,12,17,3
MISSING PERSONS,NorthEast,6,04,10,2
THEFT,Center,1,10,12,11
SEX,NorthEast,7,05,11,2
THEFT,Center,1,11,18,7
SEX,NorthEast,3,05,19,1
OTHER,NorthEast,6,07,13,16
MISSING PERSONS,Center,2,07,15,2
OTHER,NorthEast,5,05,06,10
OTHER,SouthEast,3,04,18,5
SEX,Center,3,04,14,1
SEX,SouthEast,6,09,01,2
THEFT,SouthWest,4,12,17,3
THEFT,NorthWest,2,01,19,3
OTHER,Center,3,09,18,9
SEX,SouthEast,3,09,14,1
OTHER,Center,6,12,08,4
SEX,SouthWest,2,10,14,1
OTHER,SouthWest,4,01,03,1
THEFT,NorthWest,3,02,10,4
DRUG/ALC,SouthEast,1,07,11,2
SEX,SouthEast,4,12,11,1
THEFT,NorthWest,4,08,01,2
OTHER,Center,2,08,16,7
MISSING PERSONS,NorthWest,7,12,19,2
THEFT,Center,3,08,15,7
THEFT,NorthEast,2,01,17,32
SEX,SouthWest,7,02,15,1
OTHER,NorthWest,6,03,22,5
SEX,NorthEast,1,09,20,2
OTHER,NorthWest,5,11,16,6
OTHER,SouthWest,4,10,04,1
SEX,NorthWest,2,05,13,3
DRUG/ALC,NorthEast,6,03,00,1
SEX,SouthEast,6,05,02,2
THEFT,NorthEast,3,01,13,21
THEFT,SouthWest,1,08,13,2
OTHER,NorthWest,6,06,18,3
THEFT,NorthWest,1,11,19,1
SEX,SouthEast,4,06,15,2
OTHER,NorthWest,3,02,12,4
SEX,NorthEast,4,06,10,5
OTHER,NorthWest,7,09,11,2
THEFT,Center,2,01,18,8
THEFT,Center,7,08,08,3
OTHER,NorthWest,3,09,19,6
MISSING PERSONS,Center,6,01,16,2
THEFT,SouthEast,1,02,17,5
OTHER,SouthEast,5,06,09,9
OTHER,NorthEast,5,12,03,7
OTHER,NorthWest,1,01,16,6
SEX,SouthEast,3,01,23,5
OTHER,NorthEast,5,09,13,22
SEX,Center,1,07,04,2
SEX,NorthEast,1,05,15,11
SEX,SouthEast,1,05,10,2
OTHER,Center,7,09,05,2
OTHER,SouthEast,7,04,05,2
THEFT,NorthWest,5,01,19,8
SEX,SouthWest,5,10,14,2
OTHER,NorthEast,2,05,06,12
SEX,SouthEast,7,01,18,2
OTHER,Center,7,01,14,11
SEX,NorthEast,5,03,08,1
SEX,SouthEast,1,07,07,1
SEX,SouthEast,3,09,00,1
SEX,SouthWest,2,10,00,1
THEFT,NorthWest,1,08,18,4
OTHER,SouthWest,6,06,13,1
MISSING PERSONS,NorthEast,1,06,17,3
THEFT,NorthWest,3,12,07,1
DRUG/ALC,NorthEast,6,11,21,1
OTHER,SouthWest,3,12,23,5
OTHER,NorthEast,5,12,11,18
THEFT,SouthWest,3,07,16,1
OTHER,SouthWest,6,09,15,1
THEFT,SouthEast,5,06,12,2
THEFT,NorthEast,4,01,00,13
OTHER,SouthWest,2,07,15,5
THEFT,SouthEast,6,10,16,7
MISSING PERSONS,SouthWest,6,12,08,2
THEFT,NorthEast,2,03,02,11
OTHER,Center,1,07,17,2
THEFT,SouthEast,5,08,02,1
THEFT,NorthEast,4,09,23,23
SEX,SouthWest,6,07,21,1
OTHER,SouthWest,7,12,18,2
OTHER,SouthEast,3,01,22,1
OTHER,NorthEast,7,01,07,7
MISSING PERSONS,NorthEast,5,02,12,2
THEFT,Center,6,11,13,6
MISSING PERSONS,SouthEast,5,05,14,2
OTHER,NorthEast,1,07,18,20
MISSING PERSONS,SouthWest,1,10,10,2
OTHER,SouthEast,5,06,10,1
OTHER,NorthEast,5,06,15,20
DRUG/ALC,Center,2,08,20,2
MISSING PERSONS,NorthEast,5,09,19,3
DRUG/ALC,NorthEast,1,11,06,7
SEX,Center,4,04,13,3
SEX,Center,6,02,05,2
MISSING PERSONS,SouthWest,6,02,22,4
OTHER,SouthWest,6,05,20,6
DRUG/ALC,Center,7,05,00,1
OTHER,NorthEast,4,07,01,8
MISSING PERSONS,SouthWest,6,10,02,1
SEX,SouthEast,4,12,03,4
OTHER,SouthWest,4,01,11,2
SEX,NorthEast,4,06,09,2
THEFT,SouthEast,5,09,22,5
THEFT,Center,5,04,22,5
MISSING PERSONS,SouthWest,5,08,16,1
DRUG/ALC,SouthWest,7,06,09,1
SEX,Center,1,12,12,5
THEFT,SouthWest,7,04,21,4
DRUG/ALC,NorthEast,7,10,17,1
MISSING PERSONS,NorthWest,6,07,17,2
OTHER,SouthEast,4,03,08,9
DRUG/ALC,Center,3,10,23,1
SEX,NorthWest,7,11,02,1
THEFT,SouthWest,2,12,14,9
DRUG/ALC,SouthEast,4,02,09,2
THEFT,NorthWest,3,02,09,2
OTHER,NorthEast,7,11,01,15
