hood,category,count
Marina,"SEX OFFENSES, FORCIBLE",12
Marina,"SEX OFFENSES, NON FORCIBLE",1
Marina,STOLEN PROPERTY,26
Marina,SUICIDE,3
Marina,SUSPICIOUS OCC,90
Marina,TRESPASS,23
Marina,VANDALISM,196
Marina,VEHICLE THEFT,139
Marina,WARRANTS,91
Marina,WEAPON LAWS,12
Mission,ARSON,41
Mission,ASSAULT,1643
Mission,BAD CHECKS,2
Mission,BRIBERY,9
Mission,BURGLARY,531
Mission,DISORDERLY CONDUCT,150
Mission,DRIVING UNDER THE INFLUENCE,52
Mission,DRUG/NARCOTIC,555
Mission,DRUNKENNESS,80
Mission,EMBEZZLEMENT,20
Mission,EXTORTION,7
Mission,FAMILY OFFENSES,13
Mission,FORGERY/COUNTERFEITING,72
Mission,FRAUD,219
Mission,GAMBLING,2
Mission,KIDNAPPING,29
Mission,LARCENY/THEFT,2441
Mission,LIQUOR LAWS,27
Mission,LOITERING,6
Mission,MISSING PERSON,442
Mission,NON-CRIMINAL,1648
Mission,OTHER OFFENSES,2480
Mission,PROSTITUTION,86
Mission,RECOVERED VEHICLE,48
Mission,ROBBERY,440
Mission,RUNAWAY,5
Mission,SECONDARY CODES,176
Mission,"SEX OFFENSES, FORCIBLE",153
Mission,"SEX OFFENSES, NON FORCIBLE",3
Mission,STOLEN PROPERTY,88
Mission,SUICIDE,2
Mission,SUSPICIOUS OCC,746
Mission,TRESPASS,347
Mission,VANDALISM,841
Mission,VEHICLE THEFT,660
Mission,WARRANTS,892
Mission,WEAPON LAWS,234
Nob Hill,ARSON,3
Nob Hill,ASSAULT,211
Nob Hill,BRIBERY,2
Nob Hill,BURGLARY,129
Nob Hill,DISORDERLY CONDUCT,29
Nob Hill,DRIVING UNDER THE INFLUENCE,9
Nob Hill,DRUG/NARCOTIC,50
Nob Hill,DRUNKENNESS,12
Nob Hill,EXTORTION,1
Nob Hill,FORGERY/COUNTERFEITING,15
Nob Hill,FRAUD,51
Nob Hill,KIDNAPPING,2
Nob Hill,LARCENY/THEFT,782
Nob Hill,MISSING PERSON,62
Nob Hill,NON-CRIMINAL,341
Nob Hill,OTHER OFFENSES,348
Nob Hill,PROSTITUTION,111
Nob Hill,RECOVERED VEHICLE,14
Nob Hill,ROBBERY,63
Nob Hill,SECONDARY CODES,26
Nob Hill,"SEX OFFENSES, FORCIBLE",16
Nob Hill,STOLEN PROPERTY,19
Nob Hill,SUICIDE,2
Nob Hill,SUSPICIOUS OCC,92
Nob Hill,TRESPASS,63
Nob Hill,VANDALISM,198
Nob Hill,VEHICLE THEFT,119
Nob Hill,WARRANTS,77
Nob Hill,WEAPON LAWS,15
Noe Valley,ASSAULT,89
Noe Valley,BRIBERY,1
Noe Valley,BURGLARY,136
Noe Valley,DRIVING UNDER THE INFLUENCE,5
Noe Valley,DRUG/NARCOTIC,9
Noe Valley,FORGERY/COUNTERFEITING,3
Noe Valley,FRAUD,29
Noe Valley,KIDNAPPING,2
Noe Valley,LARCENY/THEFT,283
Noe Valley,LIQUOR LAWS,2
Noe Valley,MISSING PERSON,21
Noe Valley,NON-CRIMINAL,144
Noe Valley,OTHER OFFENSES,167
Noe Valley,RECOVERED VEHICLE,6
Noe Valley,ROBBERY,19
Noe Valley,SECONDARY CODES,17
Noe Valley,"SEX OFFENSES, FORCIBLE",5
Noe Valley,STOLEN PROPERTY,2
Noe Valley,SUICIDE,2
Noe Valley,SUSPICIOUS OCC,57
Noe Valley,TRESPASS,8
Noe Valley,VANDALISM,65
Noe Valley,VEHICLE THEFT,159
Noe Valley,WARRANTS,16
Noe Valley,WEAPON LAWS,12
North Beach,ARSON,3
North Beach,ASSAULT,306
North Beach,BRIBERY,1
North Beach,BURGLARY,138
North Beach,DISORDERLY CONDUCT,11
North Beach,DRIVING UNDER THE INFLUENCE,11
North Beach,DRUG/NARCOTIC,52
North Beach,DRUNKENNESS,17
North Beach,EMBEZZLEMENT,5
North Beach,FORGERY/COUNTERFEITING,15
North Beach,FRAUD,99
North Beach,GAMBLING,1
North Beach,KIDNAPPING,3
North Beach,LARCENY/THEFT,2285
North Beach,LIQUOR LAWS,7
North Beach,LOITERING,3
North Beach,MISSING PERSON,51
North Beach,NON-CRIMINAL,604
North Beach,OTHER OFFENSES,495
North Beach,RECOVERED VEHICLE,10
North Beach,ROBBERY,80
North Beach,RUNAWAY,1
North Beach,SECONDARY CODES,40
North Beach,"SEX OFFENSES, FORCIBLE",14
North Beach,STOLEN PROPERTY,53
North Beach,SUICIDE,3
North Beach,SUSPICIOUS OCC,143
North Beach,TRESPASS,29
North Beach,VANDALISM,345
North Beach,VEHICLE THEFT,113
North Beach,WARRANTS,124
North Beach,WEAPON LAWS,43
Ocean View,ARSON,4
Ocean View,ASSAULT,237
Ocean View,BAD CHECKS,1
Ocean View,BRIBERY,1
Ocean View,BURGLARY,119
Ocean View,DISORDERLY CONDUCT,1
Ocean View,DRIVING UNDER THE INFLUENCE,6
Ocean View,DRUG/NARCOTIC,22
Ocean View,DRUNKENNESS,7
Ocean View,EMBEZZLEMENT,2
Ocean View,EXTORTION,3
Ocean View,FAMILY OFFENSES,2
Ocean View,FORGERY/COUNTERFEITING,3
Ocean View,FRAUD,33
Ocean View,KIDNAPPING,9
Ocean View,LARCENY/THEFT,306
Ocean View,LIQUOR LAWS,3
Ocean View,MISSING PERSON,65
Ocean View,NON-CRIMINAL,242
Ocean View,OTHER OFFENSES,352
Ocean View,RECOVERED VEHICLE,13
Ocean View,ROBBERY,39
Ocean View,RUNAWAY,1
Ocean View,SECONDARY CODES,41
Ocean View,"SEX OFFENSES, FORCIBLE",10
Ocean View,"SEX OFFENSES, NON FORCIBLE",1
Ocean View,STOLEN PROPERTY,9
Ocean View,SUICIDE,1
Ocean View,SUSPICIOUS OCC,84
Ocean View,TRESPASS,20
Ocean View,VANDALISM,129
Ocean View,VEHICLE THEFT,116
Ocean View,WARRANTS,64
Ocean View,WEAPON LAWS,31
Outer Mission,ARSON,6
Outer Mission,ASSAULT,383
Outer Mission,BAD CHECKS,1
Outer Mission,BRIBERY,2
Outer Mission,BURGLARY,80
Outer Mission,DISORDERLY CONDUCT,3
Outer Mission,DRIVING UNDER THE INFLUENCE,7
Outer Mission,DRUG/NARCOTIC,47
Outer Mission,DRUNKENNESS,6
Outer Mission,EMBEZZLEMENT,1
Outer Mission,EXTORTION,2
Outer Mission,FORGERY/COUNTERFEITING,16
Outer Mission,FRAUD,31
Outer Mission,GAMBLING,3
Outer Mission,KIDNAPPING,9
Outer Mission,LARCENY/THEFT,401
Outer Mission,LIQUOR LAWS,2
Outer Mission,LOITERING,1
Outer Mission,MISSING PERSON,113
Outer Mission,NON-CRIMINAL,320
Outer Mission,OTHER OFFENSES,554
Outer Mission,PORNOGRAPHY/OBSCENE MAT,1
Outer Mission,RECOVERED VEHICLE,14
Outer Mission,ROBBERY,79
Outer Mission,RUNAWAY,2
Outer Mission,SECONDARY CODES,49
Outer Mission,"SEX OFFENSES, FORCIBLE",22
Outer Mission,"SEX OFFENSES, NON FORCIBLE",2
Outer Mission,STOLEN PROPERTY,12
Outer Mission,SUICIDE,6
Outer Mission,SUSPICIOUS OCC,134
Outer Mission,TRESPASS,16
Outer Mission,VANDALISM,159
Outer Mission,VEHICLE THEFT,193
Outer Mission,WARRANTS,79
Outer Mission,WEAPON LAWS,38
Outer Richmond,ARSON,6
Outer Richmond,ASSAULT,151
Outer Richmond,BAD CHECKS,1
Outer Richmond,BURGLARY,122
Outer Richmond,DISORDERLY CONDUCT,6
Outer Richmond,DRIVING UNDER THE INFLUENCE,10
Outer Richmond,DRUG/NARCOTIC,20
Outer Richmond,DRUNKENNESS,5
Outer Richmond,EMBEZZLEMENT,2
Outer Richmond,EXTORTION,2
Outer Richmond,FAMILY OFFENSES,1
Outer Richmond,FORGERY/COUNTERFEITING,10
Outer Richmond,FRAUD,59
Outer Richmond,KIDNAPPING,2
Outer Richmond,LARCENY/THEFT,580
Outer Richmond,MISSING PERSON,77
Outer Richmond,NON-CRIMINAL,317
Outer Richmond,OTHER OFFENSES,284
Outer Richmond,PROSTITUTION,2
Outer Richmond,RECOVERED VEHICLE,9
Outer Richmond,ROBBERY,30
Outer Richmond,RUNAWAY,5
Outer Richmond,SECONDARY CODES,64
Outer Richmond,"SEX OFFENSES, FORCIBLE",16
Outer Richmond,STOLEN PROPERTY,18
Outer Richmond,SUSPICIOUS OCC,101
Outer Richmond,TRESPASS,13
Outer Richmond,VANDALISM,134
